bannerImg,bannerProId,bannerType,bannerTypeid,bannerTypeid2,linkWebUrl,oneName,twoName
http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20181213115602934250.jpg,,4,45,199,,Game,Zelda
http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20181213120200291413.jpg,,4,45,288,,Game,Persona 5
http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20181213120804930532.jpg,,4,45,197,,Game,The Witcher
http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20181213120200216811.png,,4,45,261,,Game,Pokemon
http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20181213115805217300.jpg,,4,45,291,,Game,Final Fantasy
http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20181213121800028693.jpg,,4,45,172,,Game,Dark Souls
http://datafanthfuloss.oss-cn-shanghai.aliyuncs.com/cpsupload/pic/20181213115805242729.png,,4,45,187,,Game,PlayStation
